image,model,commons_file,author,licence,licence_url,source
images/canon/canon-rf-28-70mm-f2-8-is-stm.jpg,Canon RF 28-70mm F2.8 IS STM,"Canon RF 28–70mm F2,8 IS STM--21.jpg",GodeNehler,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Canon_RF_28%E2%80%9370mm_F2,8_IS_STM--21.jpg"
images/canon/canon-rf-28mm-f2-8-stm.jpg,Canon RF 28mm F2.8 STM,Canon RF 28mm F2.8-8799.jpg,GodeNehler,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_RF_28mm_F2.8-8799.jpg
images/canon/canon-rf-35mm-f1-4-l-vcm.jpg,Canon RF 35mm F1.4 L VCM,Canon RF 35mm F1.4L VCM.jpg,Dinkun Chen,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_RF_35mm_F1.4L_VCM.jpg
images/canon/canon-rf-35mm-f1-8-macro-is-stm.jpg,Canon RF 35mm F1.8 MACRO IS STM,Canon RF 35mm F1.8-8804.jpg,GodeNehler,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_RF_35mm_F1.8-8804.jpg
images/canon/canon-rf-400mm-f2-8-l-is-usm.jpg,Canon RF 400mm F2.8 L IS USM,Canon RF 400mm F2.8L IS USM.jpg,Henry Söderlund,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Canon_RF_400mm_F2.8L_IS_USM.jpg
images/canon/canon-rf-5-2mm-f2-8-l-dual-fisheye.jpg,Canon RF 5.2mm F2.8 L DUAL FISHEYE,"Canon RF 5,2mm f2.8L DUAL FISHEYE.jpg",Bernatargentona,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,"https://commons.wikimedia.org/wiki/File:Canon_RF_5,2mm_f2.8L_DUAL_FISHEYE.jpg"
images/canon/canon-rf-50mm-f1-2-l-usm.jpg,Canon RF 50mm F1.2 L USM,Canon RF 50mm F1.2L USM.jpg,Bobulous,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_RF_50mm_F1.2L_USM.jpg
images/canon/canon-rf-50mm-f1-4-l-vcm.jpg,Canon RF 50mm F1.4 L VCM,Canon EOS R5 C and DJI RS4 Pro on the ground 20260808.jpg,Solomon203,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_EOS_R5_C_and_DJI_RS4_Pro_on_the_ground_20260808.jpg
images/canon/canon-rf-50mm-f1-8-stm.jpg,Canon RF 50mm F1.8 STM,Canon RF 50mm F1.8 STM (1-1 cropped).jpg,Henry Söderlund,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Canon_RF_50mm_F1.8_STM_(1-1_cropped).jpg
images/canon/canon-rf-600mm-f11-is-stm.jpg,Canon RF 600mm F11 IS STM,Canon RF 600 11-8055.jpg,GodeNehler,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_RF_600_11-8055.jpg
