slug,name,mount,focal_length_mm,max_aperture,introduced,filter_mm,weight_g,image,wikidata,commons_file,wikipedia,source
canon-ef-m-11-22mm-f-4-5-6-is-stm,Canon EF-M 11-22mm f/4-5.6 IS STM,Canon EF-M lens mount,11-22,4,2013,,,images/canon/canon-ef-m-11-22mm-f-4-5-6-is-stm.jpg,Q24909454,Canon EF-M f4.5-5.6 11-22mm.jpg,https://en.wikipedia.org/wiki/Canon_EF-M_11%E2%80%9322mm_lens,wikidata
canon-ef-m-15-45mm-f-3-5-6-3-is-stm,Canon EF-M 15-45mm f/3.5-6.3 IS STM,Canon EF-M lens mount,15-45,3.5,2015,,,images/canon/canon-ef-m-15-45mm-f-3-5-6-3-is-stm.jpg,Q24907528,Canon EF-M 15-45mm f3.5-6.3 IS STM 01.jpg,https://en.wikipedia.org/wiki/Canon_EF-M_15%E2%80%9345mm_lens,wikidata
canon-ef-m-18-150mm-f-3-5-6-3-is-stm,Canon EF-M 18-150mm f/3.5-6.3 IS STM,Canon EF-M lens mount,18-150,3.5,2016,,,images/canon/canon-ef-m-18-150mm-f-3-5-6-3-is-stm.jpg,Q28035405,Canon EOS M5 front-left 2017 CP+.jpg,https://en.wikipedia.org/wiki/Canon_EF-M_18%E2%80%93150mm_lens,wikidata
canon-ef-m-18-55mm-f-3-5-5-6-is-stm,Canon EF-M 18-55mm f/3.5-5.6 IS STM,Canon EF-M lens mount,18-55,3.5,2012,,,images/canon/canon-ef-m-18-55mm-f-3-5-5-6-is-stm.jpg,Q24909472,Canon EF-M f3.5-5.6 18-55mm.jpg,https://en.wikipedia.org/wiki/Canon_EF-M_18%E2%80%9355mm_lens,wikidata
canon-ef-m-22mm-f-2-stm,Canon EF-M 22mm f/2 STM,Canon EF-M lens mount,22,2,2012,,,images/canon/canon-ef-m-22mm-f-2-stm.jpg,Q11689353,Canon EF-M f2.0 22mm.jpg,https://en.wikipedia.org/wiki/Canon_EF-M_22mm_lens,wikidata
canon-ef-m-28mm-f-3-5-macro-is-stm,Canon EF-M 28mm f/3.5 Macro IS STM,Canon EF-M lens mount,28,3.5,2016,,,images/canon/canon-ef-m-28mm-f-3-5-macro-is-stm.jpg,Q24909141,Canon EF-M 28mm F3.5 Macro IS STM.jpg,https://en.wikipedia.org/wiki/Canon_EF-M_28mm_Macro_lens,wikidata
canon-ef-m-32mm-f-1-4-stm,Canon EF-M 32mm f/1.4 STM,Canon EF-M lens mount,32,1.4,2018,,,images/canon/canon-ef-m-32mm-f-1-4-stm.jpg,Q100876300,Canon EF-M 32mm F1.4 STM lens-front oblique uncapped PNr°0800.jpg,https://en.wikipedia.org/wiki/Canon_EF-M_32mm_lens,wikidata
canon-ef-m-55-200mm-f-4-5-6-3-is-stm,Canon EF-M 55-200mm f/4.5-6.3 IS STM,Canon EF-M lens mount,55-200,4.5,2014,,,images/canon/canon-ef-m-55-200mm-f-4-5-6-3-is-stm.jpg,Q24909457,Canon EF-M f4.5-6.3 55-200mm.jpg,https://en.wikipedia.org/wiki/Canon_EF-M_55-200mm_lens,wikidata
canon-ef-s-10-22mm-f3-5-4-5-usm,Canon EF-S 10-22mm F3.5-4.5 USM,Canon EF-S lens mount,10-22,3.5,2004,,,images/canon/canon-ef-s-10-22mm-f3-5-4-5-usm.jpg,Q540600,Canon EF-S 10-22mm f3.5-4.5 USM Hooded.jpg,https://en.wikipedia.org/wiki/Canon_EF-S_10%E2%80%9322mm_lens,wikidata
canon-ef-s-10-18mm-lens,Canon EF-S 10–18mm lens,Canon EF-S lens mount,10-18,4.5,2014,,,images/canon/canon-ef-s-10-18mm-lens.jpg,Q17048807,Canon EFS 10-18.jpg,https://en.wikipedia.org/wiki/Canon_EF-S_10%E2%80%9318mm_lens,wikidata
canon-ef-s-15-85mm-lens,Canon EF-S 15-85mm lens,Canon EF-S lens mount,15-85,3.5,2009,,,images/canon/canon-ef-s-15-85mm-lens.jpg,Q3880561,"Canon EF-S 15-85mm f3.5-5.6 IS USM, 2013 November - 2.jpg",https://en.wikipedia.org/wiki/Canon_EF-S_15%E2%80%9385mm_lens,wikidata
canon-ef-s-17-85mm-f4-5-6-is-usm,Canon EF-S 17-85mm F4-5.6 IS USM,Canon EF-S lens mount,17-85,4,2004,,,images/canon/canon-ef-s-17-85mm-f4-5-6-is-usm.jpg,Q4179316,Canon 17-85mm is lens.jpg,https://en.wikipedia.org/wiki/Canon_EF-S_17%E2%80%9385mm_lens,wikidata
canon-ef-s-17-55mm-lens,Canon EF-S 17–55mm lens,Canon EF-S lens mount,17-55,2.8,2006,,,images/canon/canon-ef-s-17-55mm-lens.jpg,Q1148283,Canon EF-S 17-55mm.jpg,https://en.wikipedia.org/wiki/Canon_EF-S_17%E2%80%9355mm_lens,wikidata
canon-ef-s-18-135mm-f3-5-5-6-is,Canon EF-S 18-135mm F3.5-5.6 IS,Canon EF-S lens mount,18-135,3.5,2009,,,images/canon/canon-ef-s-18-135mm-f3-5-5-6-is.jpg,Q60221544,Canon EF-S 18-135mm IS.JPG,,wikidata
